company,srn,address,city,zip_code,pti_no.,approved,notes
DOW CHEMICAL COMPANY,N6628,99 TIERNAN ROAD,BAY CITY,48706,47-15B,11/23/2020,
"QUANTUM COMPOSITES, INC",N6874,1310 S VALLEY CENTER DRIVE,BAY CITY,48706,303-00A,4/30/2010,
"QUANTUM COMPOSITES, INC",N6874,1310 S VALLEY CENTER DRIVE,BAY CITY,48706,303-00B,4/30/2010,Rolled into ROP
"BIT-MAT PRODUCTS OF MI, INC",N7108,401 TIERNAN ROAD,BAY CITY,48706,295-01,5/3/2002,
BOND CRUSHED CONCRETE,N8155,3740 PATTERSON ROAD,BAY CITY,48706,150-18A,8/5/2020,
"BOICE BIRD & SONS, INC",P0001,422 HARRISON STREET,BAY CITY,48708,174-10,8/26/2010,General PTI
"WILKINSON MINERALS, LLC",P1146,101 PICARD STREET,BAY CITY,48091,110-20,3/4/2021,
PYRAMID PAVING & CONTRACTING,B1485,1503 PINE STREET,ESSEXVILLE,48732,260-81B,5/19/1997,
PYRAMID PAVING & CONTRACTING,B1485,1503 PINE STREET,ESSEXVILLE,48732,185-17,5/4/2018,
CONSUMERS ENERGY COMPANY,B2840,2742 N WEADOCK HIGHWAY - KARN-,ESSEXVILLE,48732,362-97,7/24/1997,Rolled into ROP
CONSUMERS ENERGY COMPANY,B2840,2680 N WEADOCK HIGHWAY,ESSEXVILLE,48732,354-99,2/18/2000,Rolled into ROP
CONSUMERS ENERGY COMPANY,B2840,2742 N WEADOCK HIGHWAY - KARN-,ESSEXVILLE,48732,158-01,10/30/2001,Rolled into ROP
CONSUMERS ENERGY COMPANY,B2840,2555 & 2742 N WEADOCK HIGHWAY -,ESSEXVILLE,48732,102-06,6/15/2006,Rolled into ROP
CONSUMERS ENERGY COMPANY,B2840,2555 & 2742 N WEADOCK HIGHWAY -,ESSEXVILLE,48732,390-08,11/30/2009,Rolled into ROP
CONSUMERS ENERGY COMPANY,B2840,2742 N WEADOCK HIGHWAY - KARN-,ESSEXVILLE,48732,224-10A,6/26/2014,Rolled into ROP
CONSUMERS ENERGY COMPANY,B2840,2742 N WEADOCK HIGHWAY - KARN-,ESSEXVILLE,48732,40-15A,8/17/2021,
NORTHWOOD ENERGY CORPORATION,N6498,"NW SE SEC 11, T16N, R4E - ST FRASER 1-",FRASER TOWNSHIP,48634,215-10,12/3/2010,
"RIVERSIDE ENERGY MICHIGAN, LLC",N7031,"SEC 8, T16N, R4E - FRASER 8 CPF",FRASER TOWNSHIP,48634,301-01C,11/9/2016,
SUMMIT PETROLEUM CORPORATION,B8884,"NOLET ROAD - SEC 14, T14N, R6E",HAMPTON TOWNSHIP,48732,272-82A,5/3/2005,
SUMMIT PETROLEUM CORPORATION,N0827,"ARMS ROAD - SEC 8, T14N, R6E",HAMPTON TOWNSHIP,48804,309-96A,5/3/2005,
"S C HOLDINGS, INC",N8085,2301 2 MILE & BEAVER ROADS - HARTLEY,KAWKAWLIN,48631,209-08,9/22/2008,
AARON ELEK III ESTATE,P0482,"S 1/2 SE 1/4 SW 1/4 SEC 34, T15N, R4E -",KAWKAWLIN,48631,60-14,7/28/2014,
AARON ELEK III ESTATE,P0483,"S 1/2 NE 1/4 NE 1/4 SEC 34, T15N, R4E -",KAWKAWLIN,48631,119-14,10/1/2014,
AARON ELEK III ESTATE,P0485,"S 1/2 NE 1/4 NE 1/4 SEC 34, T15N, R4E -",KAWKAWLIN,48631,120-14,9/26/2014,
COBRA OIL & GAS CORPORATION,N8288,PINCONNING COMPRESSOR STATION,PINCONNING,48650,130-09,6/16/2009,
"COMPASSIONATE ADVISORS-PINCANNA,",P1098,419 E PINCONNING ROAD,PINCONNING,48650,195-19B,1/13/2022,
"FALCON RME, LLC",P0983,2600 W SALZBURG ROAD,WILLIAMS TOWNSHIP,48623,203-18,12/18/2018,General PTI
"BRADLEY SAND & GRAVEL, INC",N6289,1633 HARRIS ROAD,BEULAH,49617,250-97,6/16/1997,
AL'S AGGREGATE PROCESSOR,N7346,LINCOLN & ENDEN HILL ROADS,BEULAH,49617,100-04,4/8/2004,General PTI
BENZIE AREA CREMATORY,P0513,1417 BEULAH HIGHWAY - SUITE 2,BEULAH,49617,53-14,4/24/2014,
"JORDAN DEVELOPMENT COMPANY, LLC",N7873,NE SE SE SEC 30,COLFAX TOWNSHIP,49683,311-07,1/10/2008,
"MOLON ASPHALT, INC",P0206,18657 HONOR HIGHWAY,INTERLOCHEN,49643,19-11B,5/29/2015,
BAY AREA DISPOSAL,P1104,18657 HONOR HIGHWAY,INTERLOCHEN,49643,2-20A,2/4/2022,
"COLORTEK, INC",N3074,2108 W SHAWNEE ROAD,BARODA,48239,266-02,11/20/2002,General PTI
OLD EUROPE CHEESE,A0301,1330 E EMPIRE AVENUE,BENTON HARBOR,49022,36-09,4/1/2009,
NEW PRODUCTS CORPORATION,A0380,448 N SHORE DRIVE,BENTON HARBOR,49022,22-01,5/31/2001,
GAST MANUFACTURING CORPORATION,A0404,2300 M-139,BENTON HARBOR,49023,173-04,9/7/2004,
"NATIONAL ZINC PROCESSORS, INC",B1501,1256 MILTON STREET,BENTON HARBOR,49022,183-04A,10/17/2006,
"RIETH-RILEY CONSTRUCTION COMPANY,",B5838,1589 TOWNLINE ROAD,BENTON HARBOR,49022,110-87E,5/21/2014,
"THELAMCO, INC",B6608,1202 TERRITORIAL ROAD,BENTON HARBOR,49022,597-87A,4/4/2011,
HERB SWAN,B8400,500 PAW PAW AVENUE,BENTON HARBOR,49022,234-04,9/21/2004,General PTI
MARTIN BROTHERS,N0630,289 HINKLEY STREET,BENTON HARBOR,49022,349-85A,2/17/2005,
SUMMIT INDUSTRIAL COATINGS,N0931,2200 E EMPIRE AVENUE,BENTON HARBOR,49022,171-12,11/8/2012,General PTI
LECO CORPORATION,N2802,1920 YORE AVENUE,BENTON HARBOR,49022,75-07,3/23/2007,
FREEDOM FINISHING,N3694,2755 MEADOWBROOK ROAD,BENTON HARBOR,49022,195-12,1/10/2013,
"FREEDOM FINISHING, INC",N3694,2755 MEADOWBROOK ROAD,BENTON HARBOR,49022,211-01,8/7/2001,
"JVIS MANUFACTURING, LLC",N3747,1285 N CRYSTAL AVENUE,BENTON HARBOR,49022,202-95E,7/24/2018,
"TECH NICKEL, INC",N5540,1200 S CRYSTAL AVENUE,BENTON HARBOR,49023,81-95B,12/13/2001,
"SPECIAL-LITE, INC",N6422,1394 E EMPIRE AVENUE,BENTON HARBOR,49022,168-20,3/24/2021,
CREMATION OF SOUTHWEST MICHIGAN,P0312,1997 MEADOWBROOK ROAD,BENTON HARBOR,49022,8-12A,6/3/2014,
"ALUTECH, LLC",P0340,1320 PAW PAW AVENUE,BENTON HARBOR,49022,170-19,4/3/2020,
"JOMAR, INC",N1686,1090 S CRYSTAL AVENUE,BENTON TOWNSHIP,49022,1051-91A,3/6/2013,
"M V METAL PRODUCTS & SOLUTIONS, LLC",N3068,9886 N TUDOR ROAD,BERRIEN SPRINGS,49103,96-05,8/4/2005,
"MARATHON PETROLEUM COMPANY, LLC",N7593,6518 S M-139,BERRIEN SPRINGS,49103,99-06,4/3/2006,General PTI
AMERICAN ELECTRIC POWER,B4252,1 COOK PLACE,BRIDGMAN,49106,260-03,2/25/2004,
AMERICAN ELECTRIC POWER,B4252,1 COOK PLACE,BRIDGMAN,49106,260-03B,6/10/2009,Rolled into ROP
INDIANA MICHIGAN POWER COMPANY,B4252,1 COOK PLACE,BRIDGMAN,49106,34-05,2/16/2005,Rolled into ROP
INDIANA MICHIGAN POWER COMPANY,B4252,1 COOK PLACE,BRIDGMAN,49106,460-93A,6/10/2014,Rolled into ROP
"ICG BERRIEN, INC",N3070,9864 CHURCH STREET,BRIDGMAN,49106,231-98,7/27/1998,
"ICG BERRIEN, INC",N3070,9865 CHURCH STREET,BRIDGMAN,49106,51-05,3/23/2005,
ANR PIPELINE COMPANY,N5575,3372 BROWNTOWN ROAD,BRIDGMAN,49106,35-03,8/15/2003,Rolled into ROP
ANR PIPELINE COMPANY,N5575,3372 BROWNTOWN ROAD,BRIDGMAN,49106,92-20,2/23/2021,
"PRATT INDUSTRIES, INC",N7486,11365 RED ARROW HIGHWAY,BRIDGMAN,49106,82-12,7/31/2012,
LA PORTE COUNTY FARM BUREAU,B7884,16724 BAKERTOWN ROAD,BUCHANAN,49107,243-03,10/21/2003,General PTI
NORTH AMERICAN NATURAL,N5432,3200 CHAMBERLAIN ROAD,BUCHANAN,49107,296-08,11/12/2008,Rolled into ROP
NORTH AMERICAN NATURAL,N5432,3200 CHAMBERLAIN ROAD,BUCHANAN,49107,1-20,6/17/2020,Rolled into ROP
SOUTHEAST BERRIEN COUNTY LANDFILL,N5432,3200 CHAMBERLAIN ROAD,BUCHANAN,49107,182-19,4/10/2020,Rolled into ROP
MDEQ RRD KALAMAZOO DISTRICT,N8263,421 W FRONT STREET - DAVE'S SHELL,BUCHANAN,49107,89-09,4/21/2009,General PTI
"REGAL FINISHING, INC",N5790,3927 BESSEMER ROAD,COLOMA,49038,336-96A,5/25/1999,
MODERN PLASTICS CORPORATION,N5891,3930 BESEMER ROAD,COLOMA,49038,146-06,9/21/2006,
NORTH SHORE MANUFACTURING,N7448,4706 M-63,COLOMA,49038,161-15,11/4/2015,
"NORTH SHORE MEMORY GARDENS, INC",N7638,5027 M-63 NORTH,COLOMA,49038,221-06,10/4/2006,
HERMEL DIE CASTING CORPORATION,N1454,7240 1ST STREET,EAU CLAIRE,49111,173-97,3/26/1997,
CAST COATINGS,N2990,203 W SOUTHEASTERN AVENUE,GALIEN,49113,213-10,11/19/2010,General PTI
TRU DIE CAST CORPORATION,N6941,13066 CALIFORNIA ROAD,NEW TROY,49119,43-01A,5/20/2010,
FRENCH PAPER LLC,B4238,100 FRENCH STREET,NILES,49120,395-96A,8/4/2009,
"D W NATIONAL STANDARD-NILES, LLC",B5417,1631 LAKE STREET,NILES,49120,22-09B,3/23/2015,
CITGO PETROLEUM CORPORATION,B9043,2233 S 3RD STREET,NILES,49120,42-05B,4/21/2016,
MARATHON ASHLAND PETROLEUM,B9073,2216 S 3RD STREET,NILES,49120,75-98,6/10/1998,Rolled into ROP
"MPLX TERMINALS, LLC",B9073,2216 S 3RD STREET,NILES,49120,122-16,9/22/2016,Rolled into ROP
BUCKEYE TERMINALS,B9085,2150 S 3RD STREET - NILES WEST,NILES,49120,586-92B,6/6/2018,
"BUCKEYE TERMINALS, LLC",B9132,2303 S 3RD STREET - NILES TERMINAL,NILES,49120,214-16,4/25/2017,
"NCP COATINGS, LLC",N2352,225 FORT STREET,NILES,49120,285-00A,11/2/2017,
TOEFCO ENGINEERED COATING SYSTEMS,N2610,1220 N 14TH STREET,NILES,49120,214-03,9/10/2003,Rolled into ROP
TOEFCO ENGINEERED COATING SYSTEMS,N2610,1220 N 14TH STREET,NILES,49120,223-03,9/29/2003,Rolled into ROP
TOEFCO ENGINEERED COATING SYSTEMS,N2610,1220 N 14TH STREET,NILES,49120,224-03,9/29/2003,Rolled into ROP
TOEFCO ENGINEERED COATING SYSTEMS,N2610,1220 N 14TH STREET,NILES,49120,222-03,9/29/2003,Rolled into ROP
TOEFCO ENGINEERED COATING SYSTEMS,N2610,1220 N 14TH STREET,NILES,49120,225-07C,3/17/2016,Rolled into ROP
TOEFCO ENGINEERED COATING SYSTEMS,N2610,1220 N 14TH STREET,NILES,49120,32-01B,10/3/2016,Rolled into ROP
UNITED FIXTURES / INTERLAKE,N3164,901 HOWARD STREET,NILES,49120,222-07,6/26/2007,General PTI
"PILKINGTON NORTH AMERICA, INC",N6364,2121 W CHICAGO ROAD - SUITE E,NILES,49120,570-96A,9/25/2001,
MOOSE LAKE AGGREGATE,N6661,1886 BARRON LAKE ROAD,NILES,49120,427-99,11/9/1999,General PTI
TANKS-R-US,N6931,2217 3RD STREET,NILES,49120,348-00A,3/2/2018,
WOLVERINE PIPELINE COMPANY,N7557,2232 S 3RD STREET,NILES,49120,322-05,12/22/2005,
ADMIRAL PETROLEUM COMPANY,N8285,1701 OAK STREET,NILES,48165,117-09,5/27/2009,General PTI
SZUCS EXCAVATING & CONCRETE,P0062,1430 US-31 NORTH,NILES,49120,21-10,4/16/2010,
RIVER VALLEY EQUINE CLINIC,P0192,315 BELL ROAD,NILES,49120,10-16,2/12/2016,
"PRATT INDUSTRIES, LLC",P0491,2070 S 3RD STREET,NILES,49120,2-14,1/7/2014,General PTI
TOEFCO ENGINEERED COATING SYSTEMS,P0708,1919 INDUSTRIAL DRIVE,NILES,49120,86-16,7/22/2016,Rolled into ROP
TOEFCO ENGINEERED COATING SYSTEMS,P0708,1919 INDUSTRIAL DRIVE,NILES,49120,63-18,4/18/2018,Rolled into ROP
TOEFCO ENGINEERED COATING SYSTEMS,P0708,1919 INDUSTRIAL DRIVE,NILES,49120,86-16A,9/6/2018,Rolled into ROP
C2 EXCAVATING,P1135,2766 GEYER ROAD,NILES,49120,82-20,7/29/2020,General PTI
"VAIL RUBBER WORKS, INC",A0357,521 LANGLEY AVENUE,SAINT JOSEPH,49085,508-95C,10/25/2007,
LECO CORPORATION,A0394,3000 LAKEVIEW AVENUE,SAINT JOSEPH,49085,82-07,2/28/2007,General PTI
LECO CORPORATION,A0394,3000 LAKEVIEW AVENUE,SAINT JOSEPH,49085,103-07A,5/11/2020,
CHARDON RUBBER COMPANY,A9856,1776 HILLTOP ROAD,SAINT JOSEPH,49085,124-07,5/11/2007,
ROBERT BOSCH CORPORATION,B2404,3737 RED ARROW HIGHWAY,SAINT JOSEPH,49085,55-05A,1/17/2008,
LAKELAND MEDICAL CENTER,C5704,1234 NAPIER AVENUE - fka MEMORIAL,SAINT JOSEPH,49085,161-09,11/17/2009,
"WALSWORTH PUBLISHING COMPANY, INC",N1698,2180 MAIDEN LANE - fka IPC,SAINT JOSEPH,49085,232-97I,10/22/2019,
HOFFMANN DIE CAST CORPORATION,N5969,229 KERTH STREET,SAINT JOSEPH,49085,23-09B,10/13/2014,
"SPEEDWAY SUPERAMERICA, LLC",N7247,3245 NILES AVENUE - SSA #4357,SAINT JOSEPH,49085,89-03,4/30/2003,General PTI
"EDGEWATER AUTOMATION, LLC",N7772,481 RENAISSANCE DRIVE,SAINT JOSEPH,49085,80-07,2/28/2007,General PTI
SANITARY CLEANERS,N8068,425 STATE STREET,SAINT JOSEPH,49085,180-08,8/7/2008,
"WALTERS-DIMMICK PETROLEUM, LLC",N8283,2805 NILES AVENUE,SAINT JOSEPH,49085,116-09,5/27/2009,General PTI
"KEY CASTING COMPANY, INC",N7043,13145 RED ARROW HIGHWAY,SAWYER,49125,363-01,4/25/2002,
QUALI-TONE CORPORATION,N7452,13092 RED ARROW HIGHWAY,SAWYER,49125,95-05,4/11/2005,General PTI
"SODUS HARD CHROME, INC",A0083,3085 YORE AVENUE,SODUS,49126,2-00A,1/14/2015,
BEAUDOIN ELECTRICAL CONSTRUCTION,P1072,3024 PIPESTONE ROAD,SODUS,49126,127-19,9/27/2019,
"SUPREME DIE CASTING, INC",B6352,3389 LINCO ROAD,STEVENSVILLE,49127,132-01A,4/14/2008,
"ALUTECH, LLC",N0804,2800 YASDICK DRIVE,STEVENSVILLE,49127,46-01C,9/3/2015,
"E Z RAMP, INC",P0633,1010 W JOHN BEERS ROAD,STEVENSVILLE,49127,146-15,8/7/2015,General PTI
"FOREST LAWN LANDFILL, INC",N2407,8230 W FOREST LAWN ROAD,THREE OAKS,49128,54-05,4/19/2005,Rolled into ROP
SHAW ENVIRONMENTAL,N2407,8230 W FOREST LAWN ROAD,THREE OAKS,49128,131-12,12/20/2012,Rolled into ROP
"ENERGY DEVELOPMENTS WATERVLIET,",N5719,3563 HENNESEY ROAD,WATERVLIET,49098,25-18A,9/4/2019,Rolled into ROP
GRANGER ELECTRIC COMPANY,N5719,3290 HENNESEY ROAD,WATERVLIET,49098,98-12,8/27/2012,Rolled into ROP
"GRANGER ELECTRIC OF WATERVLIET, LLC",N5719,3563 HENNESEY ROAD,WATERVLIET,49098,98-12A,9/4/2015,Rolled into ROP
MISHAWAKA CONCRETE & ASPHALT,N7071,711 N MAIN STREET,WATERVLIET,49098,11-02,1/17/2002,General PTI
"WATERVLIET MARATHON, LLC",P0567,112 SAINT JOSEPH STREET,WATERVLIET,49098,182-14,11/13/2014,General PTI
"NEXTGEN ENERGY, LLC",N7665,RED ARROW HIGHWAY & US-12 - RED,WATERVLIET TOWNSHIP,49098,251-06A,2/22/2007,
BRONSON PLATING COMPANY,A0547,135 INDUSTRIAL AVENUE,BRONSON,49028,332-99,11/19/1999,
BRONSON PLATING COMPANY,A0547,135 INDUSTRIAL AVENUE,BRONSON,49028,331-99,11/19/1999,
BRONSON PLATING COMPANY,A0547,135 INDUSTRIAL AVENUE,BRONSON,49028,330-99,11/19/1999,
BRONSON PLATING COMPANY,A0547,135 INDUSTRIAL AVENUE,BRONSON,49028,333-99,11/19/1999,
CRONKHITE VAULT SERVICE,N7255,371 INDUSTRIAL AVENUE,BRONSON,49028,116-03,6/4/2003,
HARVEST OAK MANUFACTURING,P0862,804 N MATTESON STREET,BRONSON,49028,143-17A,7/17/2018,
"POLY GREEN FOAM, LLC",A0531,325 JAY STREET,COLDWATER,49036,48-09,4/21/2009,
H C STARCK,B1523,460 JAY STREET,COLDWATER,49036,12-17A,1/16/2018,
"DARLING INGREDIENTS, INC",B1526,600 JAY STREET,COLDWATER,49036,133-03A,10/26/2005,
"QUALITY SPRING TOGO, INC",B3019,355 JAY STREET,COLDWATER,49036,272-03,11/12/2003,General PTI
"QUALITY SPRING TOGO, INC",B3019,355 JAY STREET,COLDWATER,49036,18-04,4/20/2004,
BRANCH COUNTY ROAD COMMISSION,B5579,122 W CHICAGO ROAD (US-12),COLDWATER,49036,360-73C,8/7/2003,
"PANEL PROCESSING OF COLDWATER, INC",B6213,681 RACE STREET,COLDWATER,49036,601-77C,10/14/2014,
"SEKISUI VOLTEK, LLC",B8786,17 ALLEN AVENUE,COLDWATER,49036,190-13,2/5/2014,Rolled into ROP
"SEKISUI VOLTEK, LLC",B8786,17 ALLEN AVENUE,COLDWATER,49036,37-14,4/18/2014,Rolled into ROP
"SEKISUI VOLTEK, LLC",B8786,17 ALLEN AVENUE,COLDWATER,49036,170-15,10/19/2015,Rolled into ROP
"SEKISUI VOLTEK, LLC",B8786,17 ALLEN AVENUE,COLDWATER,49036,164-16,11/1/2016,Rolled into ROP
"SEKISUI VOLTEK, LLC",B8786,17 ALLEN AVENUE,COLDWATER,49036,21-18A,7/8/2019,Rolled into ROP
"VOLTEK, INC",B8786,17 ALLEN AVENUE,COLDWATER,49036,422-99,3/29/2000,Rolled into ROP
MDOC LAKELAND CORRECTIONAL,K2087,141 1ST STREET,COLDWATER,49036,11-12,3/14/2012,
"DARLING INTERNATIONAL, INC",N1526,600 JAY STREET,COLDWATER,49036,210-03,9/3/2003,General PTI
"ASAMA COLDWATER MANUFACTURING,",N5814,180 ASAMA PARKWAY,COLDWATER,49036,139-96C,2/25/2004,Rolled into ROP
"ASAMA COLDWATER MANUFACTURING,",N5814,180 ASAMA PARKWAY,COLDWATER,49036,280-06A,10/15/2007,Rolled into ROP
"ASAMA COLDWATER MANUFACTURING,",N5814,180 ASAMA PARKWAY,COLDWATER,49036,177-11,12/22/2011,Rolled into ROP
"ASAMA COLDWATER MANUFACTURING,",N5814,180 ASAMA PARKWAY,COLDWATER,49036,280-06B,6/20/2013,Rolled into ROP
"ASAMA COLDWATER MANUFACTURING,",N5814,180 ASAMA PARKWAY,COLDWATER,49036,184-17,12/13/2017,Rolled into ROP
"GOKOH COLDWATER, INC",N5904,100 CONCEPT DRIVE,COLDWATER,49036,162-11B,9/3/2020,
"ALCHEM ALUMINUM, INC",N5957,368 W GARFIELD AVENUE - NORTH PLANT,COLDWATER,49036,20-02,4/4/2003,Rolled into ROP
"ALCHEM ALUMINUM, INC",N5957,368 W GARFIELD AVENUE - NORTH PLANT,COLDWATER,49036,20-02A,8/23/2004,Rolled into ROP
"ALCHEM ALUMINUM, INC",N5957,368 W GARFIELD AVENUE - NORTH PLANT,COLDWATER,49036,33-08A,7/2/2008,Rolled into ROP
"ALCHEM ALUMINUM, INC & IMCO",N5957,267 N FILLMORE ROAD - SOUTH PLANT,COLDWATER,49036,173-09,7/20/2010,Rolled into ROP
"ALERIS INTERNATIONAL, INC",N5957,267 N FILLMORE ROAD - SOUTH PLANT,COLDWATER,49036,76-12,8/10/2012,Rolled into ROP
"ALERIS RECYCLING, INC",N5957,267 N FILLMORE ROAD - SOUTH PLANT,COLDWATER,49036,321-96F,6/6/2005,Rolled into ROP
ALERIS SPECIFICATION ALLOYS,N5957,267 N FILLMORE ROAD - SOUTH PLANT,COLDWATER,49036,173-09A,5/13/2011,Rolled into ROP
"ALERIS SPECIFICATION ALLOYS, INC",N5957,267 N FILLMORE ROAD - SOUTH PLANT,COLDWATER,49036,126-13,11/18/2013,Rolled into ROP
IMCO RECYCLING OF MICHIGAN,N5957,267 N FILLMORE ROAD - SOUTH PLANT,COLDWATER,49036,321-96A,8/3/1998,Rolled into ROP
"IMCO RECYCLING, INC",N5957,267 N FILLMORE ROAD - SOUTH PLANT,COLDWATER,49036,372-07,1/22/2008,Rolled into ROP
"REAL ALLOY RECYCLING, LLC",N5957,267 N FILLMORE ROAD - SOUTH PLANT,COLDWATER,49036,63-19B,10/7/2021,
OZINGA READY MIX OF MICHIGAN,N6479,510 JONESVILLE ROAD,COLDWATER,49036,192-98,5/20/1998,
MICHIGAN SOUTH CENTRAL POWER,N6885,SE CORNER OF E STATE STREET,COLDWATER,49036,320-00,12/1/2000,Rolled into ROP
"B P PRODUCTS NORTH AMERICA, INC",N7130,1149 MARSHALL ROAD,COLDWATER,49036,100-02,5/1/2002,General PTI
"B P PRODUCTS NORTH AMERICA, INC",N7130,1149 MARSHALL ROAD,COLDWATER,49036,181-03,8/5/2003,General PTI
"MAROA FARMS, INC",P0517,270 N FILLMORE ROAD,COLDWATER,49036,192-16,4/20/2017,
"PEPPERCO-USA, INC",P0517,270 N FILLMORE ROAD,COLDWATER,49036,217-16,4/20/2017,
COLDWATER BOARD OF PUBLIC UTILITIES,P0521,250 N FILLMORE ROAD,COLDWATER,49036,80-14,8/19/2014,
CLEMENS FOOD GROUP,P0585,NEWTON ROAD - SECTION 35 /,COLDWATER,49036,6-15A,9/16/2016,
EAB FABRICATION,A0556,150 S MAIN STREET,QUINCY,49082,202-18,12/12/2018,General PTI
"BALKEMA EXCAVATING, INC",N6959,"SEC 20, 6 SOUTH, 5 WEST",QUINCY,49082,76-01,2/21/2001,General PTI
BRANCH COUNTY ANIMAL CONTROL,N7070,180 S RAY QUINCY ROAD,QUINCY,49082,286-01,2/5/2002,
SUN GRO HORTICULTURE,N7132,1160 E CHICAGO ROAD,QUINCY,49082,38-00C,9/21/2017,
EAB FABRICATION,N7724,64 COLE STREET,QUINCY,49082,339-06,11/13/2006,General PTI
"ACROSA SHORING PRODUCTS, INC",N5565,594 M-60 WEST - PLANT #2,UNION CITY,49094,128-06,4/24/2006,General PTI
"GUARDIAN FIBERGLASS, INC",B7205,1000 E NORTH STREET,ALBION,49224,282-02D,2/5/2007,Rolled into ROP
"GUARDIAN FIBERGLASS, INC",B7205,1000 E NORTH STREET,ALBION,49224,282-02E,9/28/2007,Rolled into ROP
"GUARDIAN FIBERGLASS, INC",B7205,1000 E NORTH STREET,ALBION,49224,27-08,2/4/2008,Rolled into ROP
"GUARDIAN FIBERGLASS, INC",B7205,1000 E NORTH STREET,ALBION,49224,177-12B,12/20/2013,Rolled into ROP
"KNAUF INSULATION, INC",B7205,1000 E NORTH STREET,ALBION,49224,26-15D,12/7/2018,Rolled into ROP
"KNAUF INSULATION, INC",B7205,1000 E NORTH STREET,ALBION,49224,206-18,12/18/2018,Rolled into ROP
"KNAUF INSULATION, INC",B7205,1000 E NORTH STREET,ALBION,49224,132-19A,6/9/2020,Rolled into ROP
"KNAUF INSULATION, LLC",B7205,1000 E NORTH STREET,ALBION,49224,133-14,11/19/2014,Rolled into ROP
"KNAUF INSULATION, LLC",B7205,1000 E NORTH STREET,ALBION,49224,26-15,7/1/2015,Rolled into ROP
"KNAUF INSULATION, LLC",B7205,1000 E NORTH STREET,ALBION,49224,26-15A,3/17/2016,Rolled into ROP
"COOPER INDUSTRIES, INC",N0794,704 N CLARK STREET,ALBION,49224,264-84A,7/18/1997,
CLARIANT CORPORATION,N1126,926 ELLIOTT ROAD - MASTERBATCHES,ALBION,49224,541-88A,11/8/2007,
"GEORGIA-PACIFIC CORRUGATED, LLC",N6866,916 BURSTEIN DRIVE,ALBION,49224,88-00F,3/13/2019,
"CARR BROTHERS & SONS, INC",N6879,14555 ELM ROW ROAD - ELM ROW PIT,ALBION,49224,327-00,10/16/2000,General PTI
"CARR BROTHERS & SONS, INC",N6880,14555 ELM ROW ROAD - PLANT 2,ALBION,49224,328-00,10/16/2000,General PTI
"BLIGHT FARMS, INC",N7129,11301 24 MILE ROAD,ALBION,49224,101-02,5/1/2002,General PTI
"CARR BROTHERS & SONS, INC",P0886,14555 ELM ROW ROAD - PLANT 3,ALBION,49224,188-17,12/13/2017,General PTI
WEST BAY EXPLORATION COMPANY,P1049,24043 H DRIVE NORTH,ALBION,49224,111-19,8/23/2019,
VECTOR PIPELINE LP,N8151,"W NE SEC 8, T4S",ATHENS TOWNSHIP,49011,288-08,12/10/2008,Rolled into ROP
"KELLOGG USA, INC",A0563,425 PORTER STREET,BATTLE CREEK,49014,9-08L,5/11/2018,
"A C FOUNDRY, INC",A0614,1146 N RAYMOND ROAD,BATTLE CREEK,49017,180-06A,2/17/2009,
MELLING ENGINEERED ALUMINUM,A0614,1146 N RAYMOND ROAD,BATTLE CREEK,48001,72-19,6/21/2019,
GRAND TRUNK WESTERN RAILROAD,B1532,409 W JAMESON STREET,BATTLE CREEK,49017,218-99,8/19/1999,
GRAND TRUNK WESTERN RAILROAD,B1532,409 W JAMESON STREET,BATTLE CREEK,49017,491-95B,5/16/2001,
"GRAPHIC PACKAGING INTERNATIONAL,",B1534,79 FOUNTAIN STREET EAST,BATTLE CREEK,49017,9-15,4/8/2015,Rolled into ROP
MICHIGAN PAPERBOARD COMPANY,B1534,79 FOUNTAIN STREET EAST,BATTLE CREEK,49017,62-98B,1/13/2000,Rolled into ROP
MICHIGAN PAPERBOARD COMPANY,B1534,79 FOUNTAIN STREET EAST,BATTLE CREEK,49017,148-91A,9/11/2000,Rolled into ROP
MICHIGAN PAPERBOARD COMPANY,B1534,79 FOUNTAIN STREET EAST,BATTLE CREEK,49017,288-03,9/8/2004,Rolled into ROP
"KRAFT FOODS GLOBAL, INC",B1548,275 CLIFF STREET,BATTLE CREEK,49014,76-07,3/18/2008,Rolled into ROP
"KRAFT FOODS GLOBAL, INC",B1548,275 CLIFF STREET,BATTLE CREEK,49014,76-07A,3/28/2008,Rolled into ROP
"KRAFT FOODS GLOBAL, INC",B1548,275 CLIFF STREET,BATTLE CREEK,49014,76-07B,4/14/2008,Rolled into ROP
"KRAFT FOODS GLOBAL, INC",B1548,275 CLIFF STREET,BATTLE CREEK,49014,76-07C,5/8/2008,Rolled into ROP
"KRAFT FOODS GLOBAL, INC",B1548,275 CLIFF STREET,BATTLE CREEK,49014,76-07D,7/21/2008,Rolled into ROP
KRAFT GENERAL FOODS CORPORATION,B1548,275 CLIFF STREET - POST DIVISION,BATTLE CREEK,49014,626-93A,7/8/1999,Rolled into ROP
KRAFT GENERAL FOODS CORPORATION,B1548,275 CLIFF STREET - POST DIVISION,BATTLE CREEK,49014,213-04,9/10/2004,Rolled into ROP
"POST FOODS, LLC",B1548,275 CLIFF STREET,BATTLE CREEK,49014,76-07E,2/15/2011,Rolled into ROP
